,uid,sentiment,text,clean_text,predicted,predicted_proba
4495,11787,neutral,@ AjeetSi77257361 Sacchai ko dikhana nafrat nahi hota mere bhai ... Yahan koi Nafrat nahi kar raha .. Sacchai ke dar … https // t . co / BX97BZXi6p  ,ajeetsi sacchai ko dikhana nafrat nahi hota mere bhai yahan koi nafrat nahi kar raha sacchai ke dar … co bxbzxip,neutral,"tensor([0.2760, 0.5097, 0.2143])"
5974,14613,positive,RT @ imaanAli _ 10 Good luck boys we still believe in you ❤️🇵🇰 We will bounce Back 👊 Jb ye sonhi DhaRTi Allah ne banai hy ❤ Tw Wo Shaan bh r …  ,imaanali good luck boy still believ ❤️🇵🇰 bounc back 👊 jb ye sonhi dhai allah ne banai hy ❤ tw wo shaan bh r …,positive,"tensor([0.0619, 0.2691, 0.6690])"
12281,28721,positive,RT @ Mohdali22828860 @ topsgrup @ TopsgrupHR may conduction very bad mere bite note good kunal kousik sir ne ham ko bole march 31 huva uske ba …  ,mohdali topsgrup topsgruphr may conduct bad mere bite note good kunal kousik sir ne ham ko bole march huva usk ba …,neutral,"tensor([0.2780, 0.5064, 0.2155])"
1455,31865,positive,Hit hai Ji Hit Hai ... what cute beautiful love song ... Mubarak Mubarak ... Lots of love and Hugs @ Aparshakti bhaai 😊!! https // t . co / 2Cf9LkjfWY  ,hit hai ji hit hai cute beauti love song mubarak mubarak lot love hug aparshakti bhaai 😊 co cflkjfwi,positive,"tensor([0.0015, 0.0447, 0.9538])"
15333,40192,neutral,@ gauravbh @ itsrohitsardana . Bhatia ji apne dangal program m btaya nhi 2014 se 2018 tk bjp gov 35A . Ke uper apna stand Kyo nhi clear kr pai  ,gauravbh itsrohitsardana bhatia ji apn dangal program btaya nhi se tk bjp gov ke uper apna stand kyo nhi clear kr pai,neutral,"tensor([0.2695, 0.5807, 0.1498])"
3632,8756,neutral,@ msisodia Tumhara neta AK jab muslaman ka vote nahi mila congress ko transfer ho gaya boolta hai ushse kyu nahi puc … https // t . co / v45iy6jnJ2  ,msisodia tumhara neta ak jab muslaman ka vote nahi mila congress ko transfer ho gaya boolta hai ushs kyu nahi puc … co viyjnj,negative,"tensor([0.5773, 0.3477, 0.0750])"
9288,21776,negative,@ AKKIsCHamp @ KHILADIAK51 @ akshaykumar Woooooo achha tabhi bolu ye saale Khan ke chamche Akki ko us thin look ka ma … https // t co / L2h7b60ftJ  ,akkischamp khiladiak akshaykumar woooooo achha tabhi bolu ye saal khan ke chamch akki ko us thin look ka … co lhbftj,negative,"tensor([0.5219, 0.2809, 0.1971])"
16839,24063,negative,@ Kanchan13211809 @ saleem _ mohad Sarkari pump par tel dalwane wale mahenge saste ki baat karte hue ache nhi lagte 🙏🏻 har har modi  ,kanchan saleem mohad sarkari pump par tel dalwan wale maheng sast ki baat kart hue ach nhi lagt 🙏🏻 har har modi,negative,"tensor([0.4526, 0.3244, 0.2230])"
12642,29731,positive,RT @ IamImranAttari Tamam Aashiqan e Rasool ko # Jumma # Mubarak ho https // t . co / 2k6AlMk5Mc  ,iamimranattari tamam aashiqan e rasool ko jumma mubarak ho co kalmkmc,positive,"tensor([0.0210, 0.2824, 0.6967])"
10406,24317,neutral,@ Shalinaahmed0 I totally agree with youuu ! I don't understand what's wrong with our society ... Kisi ko khush dekh hy nhi saktey .  ,shalinaahm total agre youuu dont understand what wrong societi kisi ko khush dekh hy nhi saktey,neutral,"tensor([0.2854, 0.5131, 0.2014])"
8036,18866,positive,@ LambaAlka Jyda gyan na pelo Aur democracy ka majak udana band kro Thoda competition Dete aur ye baat bolte to thi … https // t . co / gAwewitgp3  ,lambaalka jyda gyan na pelo aur democraci ka majak udana band kro thoda competit dete aur ye baat bolt thi … co gawewitgp,neutral,"tensor([0.4435, 0.4459, 0.1106])"
5828,14370,neutral,@ AliSohrab007 @ dilipmandal Arey kaka ye secular log sirf janta ka murkh bnaa rahe hai .  ,alisohrab dilipmand arey kaka ye secular log sirf janta ka murkh bnaa rahe hai,negative,"tensor([0.5221, 0.3663, 0.1116])"
7320,17043,positive,@ GautamGambhir sir you are great jeet khushi mein subhkamnaye aur dher sara pyar 🇮🇳❤️✌️ https // t . co / eWfncteQSY  ,gautamgambhir sir great jeet khushi mein subhkamnay aur dher sara pyar 🇮🇳❤️✌️ co ewfncteqsi,positive,"tensor([0.0098, 0.0680, 0.9222])"
11231,26585,neutral,Ya Allah zalimo ko lambi zindgi ata farma or inke sath bi aesa hi zulham ho jese in ho ne Kiya ameen … https // t co / UlJUv8akrY  ,ya allah zalimo ko lambi zindgi ata farma ink sath bi aesa hi zulham ho jese ho ne kiya ameen … co uljuvakri,positive,"tensor([0.0615, 0.1998, 0.7388])"
11984,28215,negative,@ ANI Ye courts itne hi Kyun protective hote hai criminals Ko leke  ,ani ye court itn hi kyun protect hote hai crimin ko leke,neutral,"tensor([0.4563, 0.4987, 0.0451])"
3197,7273,negative,@ Thembani _ Edwin 😂 i khale ni kha ni nwu humesa mhani luya  ,thembani edwin 😂 khale ni kha ni nwu humesa mhani luya,neutral,"tensor([0.1592, 0.6880, 0.1528])"
1343,30907,negative,RT @ abhishe26995165 Lol ! Lol ! Lol ! Mazaak bana Diya hai Youth ka . Please increase SSC CGL VACANCIES for 2017. Lowest no . In 6 years . # Incr …  ,abhish lol lol lol mazaak bana diya hai youth ka pleas increas ssc cgl vacanc lowest year incr …,neutral,"tensor([0.2259, 0.6703, 0.1038])"
7380,17162,positive,@ RahulGandhi Jai hind jai jawan M bhi congress hun sir Meri tbodi english kamzor hai App chunav lade datt ker … https // t . co / FzrjfGda3N  ,rahulgandhi jai hind jai jawan bhi congress hun sir meri tbodi english kamzor hai app chunav lade datt ker … co fzrjfgdan,negative,"tensor([0.4662, 0.2374, 0.2965])"
3631,8746,positive,@ Crazymi74727594 Kyunki mama ke saath scene jabardast the aur vo actor bhi kamaal thr . yaha pe to scene ka hi locha tha ...  ,crazymi kyunki mama ke saath scene jabardast aur vo actor bhi kamaal thr yaha pe scene ka hi locha tha,neutral,"tensor([0.0882, 0.8664, 0.0454])"
11261,26657,positive,@ sardanarohit Hme ye smj nhi aata Kya ye muslman aalag planets se aaye h ye bhi to ensan h are jab Tak es desh me e … https // t . co / 9TCSqVg40s  ,sardanarohit hme ye smj nhi aata kya ye muslman aalag planet se aay h ye bhi ensan h jab tak es desh e … co tcsqvg,negative,"tensor([0.5403, 0.3955, 0.0642])"
13052,31189,neutral,@ PoojaGo33057821 @ MadhuTr33874906 @ Arifmoh78127563 @ akm42561907 Kyuki tumne abhi tak follow back nahi diya hai  ,poojago madhutr arifmoh akm kyuki tumn abhi tak follow back nahi diya hai,neutral,"tensor([0.2102, 0.6691, 0.1207])"
2011,1129,positive,@ ChaBoyyHD Chaa .. Can ihave any cheap Ak ? Cuz Ak it's my Fav Weapon .. If u wan we can battle .. if i win u give me … https // t . co / xFDIrkRYpE  ,chaboyyhd chaa ihav cheap ak cuz ak fav weapon u wan battl win u give … co xfdirkryp,neutral,"tensor([0.0458, 0.6509, 0.3033])"
8388,19486,negative,@ vivekagnihotri @ AamAadmiParty ke lye jokar shabd bhi chota hai ye dhobi wala hai jo na ghar ka aur na ghat ka hai … https // t . co / DMGwLcAPgQ  ,vivekagnihotri aamaadmiparti ke lye jokar shabd bhi chota hai ye dhobi wala hai jo na ghar ka aur na ghat ka hai … co dmgwlcapgq,neutral,"tensor([0.3177, 0.5154, 0.1668])"
12054,28336,negative,@ madhukishwar @ asadowaisi How can these people spread hate like this ? Sach me bajao ise  ,madhukishwar asadowaisi peopl spread hate like sach bajao ise,negative,"tensor([0.6829, 0.1775, 0.1396])"
4669,12363,neutral,Sir ghoomta hai maza ata hai rat me sapny ni aty neend achi ati hai ik dum mast - ft Kamlesh https // t co / UhSt8pqEAo  ,sir ghoomta hai maza ata hai rat sapni ni ati neend achi ati hai ik dum mast ft kamlesh co uhstpqeao,neutral,"tensor([0.2206, 0.5495, 0.2299])"
8409,19527,negative,@ DrKumarVishwas Woto ye Bharat desh he ese logo ko bi moka de deta hejo esi seat ke layk bi nhi hote Inhon … https // tco / WXwWZ2HchV  ,drkumarvishwa woto ye bharat desh ese logo ko bi moka de deta hejo esi seat ke layk bi nhi hote inhon … tco wxwwzhchv,negative,"tensor([0.6547, 0.1982, 0.1470])"
301,1706,negative,@ rzikhan91 Ye to duniya janti h kaun kiski marta h . Dunuya ne bhi sari wars dekhi h . Khujli wale kutte se jyada puc … https // t . co / G77AKSh1p7  ,rzikhan ye duniya janti h kaun kiski marta h dunuya ne bhi sari war dekhi h khujli wale kutt se jyada puc … co gakshp,negative,"tensor([0.7920, 0.1393, 0.0687])"
2851,6020,positive,@ narendramodi good morning samaniya pm modi ji I am from odisha ape jit ke liye mubarakho yea pura Bharat bars ke l … https // t co / iRlXS2EjA2  ,narendramodi good morn samaniya pm modi ji odisha ape jit ke liy mubarakho yea pura bharat bar ke l … co irlxseja,positive,"tensor([0.0123, 0.1925, 0.7952])"
9703,22510,positive,@ ajaydevgn Stay strong sir . God bless you and your family .  ,ajaydevgn stay strong sir god bless famili,positive,"tensor([0.0087, 0.1219, 0.8694])"
13777,34358,positive,Love the imagery in thissss Allahumma Baarik . ( SOURCE - @ thoughtsunfold on Instgram ) https // t . co / Lq4gHtBbqZ  ,love imageri thissss allahumma baarik sourc thoughtsunfold instgram co lqghtbbqz,positive,"tensor([0.0239, 0.3352, 0.6410])"
849,4182,positive,RT @ StocksResearch @ appadappajappa @ AvaniPare Tumko kya hai behen ? Tum no ones dulhan likh lena Baaki suraj ki dulhan ki Marzi hai wo jo …  ,stocksresearch appadappajappa avanipar tumko kya hai behen tum one dulhan likh lena baaki suraj ki dulhan ki marzi hai wo jo …,negative,"tensor([0.5300, 0.3161, 0.1539])"
8524,19750,negative,RT @ TheAlteria India mein tumhe kaam mil ni rha bcoz of uNeMpLoYmEnT jo 2014 mein aayi . 2014 ke baad se tum safe feel ni kr rhe yha . To ru …  ,thealteria india mein tumh kaam mil ni rha bcoz unemploy jo mein aayi ke baad se tum safe feel ni kr rhe yha ru …,neutral,"tensor([0.2815, 0.6056, 0.1129])"
14023,35320,neutral,@ Playing11Team11 @ Dream11 _ FCG wale ko chhod kar ye dono ka predict ekdam right hota hai  ,playingteam dream fcg wale ko chhod kar ye dono ka predict ekdam right hota hai,neutral,"tensor([0.3918, 0.4845, 0.1237])"
9214,21544,neutral,@ Hoorain97 sorry miss i don't no agr kohi tl mention ho saki tu pta chal jya ga otherwise i don't remember  ,hoorain sorri miss dont agr kohi tl mention ho saki tu pta chal jya ga otherwis dont rememb,neutral,"tensor([0.2350, 0.6079, 0.1572])"
14749,38018,neutral,RT @ FilmyMonkey # TRP The Kapil Sharma Show fetches DECENT ratings ; CLAIMS 5th spot in week 21! RETWEET if you love the show https // t …  ,filmymonkey trp kapil sharma show fetch decent rate claim th spot week retweet love show …,neutral,"tensor([0.1860, 0.6002, 0.2138])"
3528,8369,neutral,@ CMO _ Gujarat 1 thi 5 ni bharati krva namra vinanti jethi tet 1 pass krine rah joi bethela umedvaro ne rojgari male Abhaar sah  ,cmo gujarat thi ni bharati krva namra vinanti jethi tet pass krine rah joi bethela umedvaro ne rojgari male abhaar sah,neutral,"tensor([0.3388, 0.5023, 0.1588])"
6618,15715,positive,@ tweets _ 24x7 @ WhoMrjoy @ dips _ 2002 @ SirJadeja Hai Vats niraash mat hona .. Kamzor tera style hai tu nahin 😁😁  ,tweet x whomrjoy dip sirjadeja hai vat niraash mat hona kamzor tera style hai tu nahin 😁😁,negative,"tensor([0.4735, 0.4337, 0.0927])"
16543,44924,negative,@ abpnewstv Chunaw ke bad chanelo ki niti badalti hai ... negative mindset ka chanel hai ABP  ,abpnewstv chunaw ke bad chanelo ki niti badalti hai neg mindset ka chanel hai abp,negative,"tensor([0.5195, 0.3220, 0.1586])"
13373,32684,negative,@ Baekistani Ye bairiyan hum khud hi apney pairon main dal letey hain parinda pinjrry se nikal b ata hai to usky di … https // t . co / g7Ve755ytV  ,baekistani ye bairiyan hum khud hi apney pairon main dal letey hain parinda pinjrri se nikal b ata hai uski di … co gveytv,negative,"tensor([0.5958, 0.2277, 0.1765])"
3287,7597,negative,@ aimim _ national @ asadowaisi @ BJP4India Ye kutta bhi bahut bhonkta tha fir ekdin Patel ji ne kaan me kuch Kaha is ni … https // t . co / bRbQREInH8  ,aimim nation asadowaisi bjpindia ye kutta bhi bahut bhonkta tha fir ekdin patel ji ne kaan kuch kaha ni … co brbqreinh,negative,"tensor([0.6139, 0.2525, 0.1336])"
2378,3647,negative,@ AcharyaPramodk jb hindustan khud hindustan ke bare m nhi sonch raha h dhrm ke naam pe bjp jaise logon ko jitaya ..… https // t . co / ymmMQ7qaof  ,acharyapramodk jb hindustan khud hindustan ke bare nhi sonch raha h dhrm ke naam pe bjp jais logon ko jitaya … co ymmmqqaof,negative,"tensor([0.4835, 0.3067, 0.2097])"
14703,37850,positive,@ MbalulaFikile # WhatsOnYourCan @ Sjava _ atm Love his outfit inkabi lena 😊 @ hector _ mbatha  ,mbalulafikil whatsonyourcan sjava atm love outfit inkabi lena 😊 hector mbatha,neutral,"tensor([0.0617, 0.6645, 0.2738])"
11037,26244,positive,RT @ RashmiK72565803 @ AzaadBharatOrg Har Tarah se deshi gaay Ka dudh hi labhdayak hai # WorldMilkDay  ,rashmik azaadbharatorg har tarah se deshi gaay ka dudh hi labhdayak hai worldmilkday,neutral,"tensor([0.3220, 0.3438, 0.3342])"
1824,42522,negative,Vodafone sucks sucks sucks donot buy vodafone ghanta 4g bc 2g bhi nai deta @ VodafoneIN  ,vodafon suck suck suck donot buy vodafon ghanta g bc g bhi nai deta vodafonein,neutral,"tensor([0.2988, 0.5631, 0.1380])"
2381,3661,neutral,Mp me congress ki sarkar aayi hai to light kase rh jaegi ..... invertor le aao .... @ officeofknath ki sarkar phle pai … https // t . co / oSes2pCIWM  ,mp congress ki sarkar aayi hai light kase rh jaegi invertor le aao officeofknath ki sarkar phle pai … co osespciwm,negative,"tensor([0.6243, 0.2434, 0.1323])"
5619,14031,negative,Apni rajniti ki dukan band hote dekh gussa to aayega hin .... berojgar ho Gaya bechara https // t . co / R83HU2E1R2  ,apni rajniti ki dukan band hote dekh gussa aayega hin berojgar ho gaya bechara co rhuer,negative,"tensor([0.9270, 0.0486, 0.0245])"
14166,35809,neutral,@ MachPhantom I just don ’ t think Woz is safe and I think that theory is pretty valid not to took my own horn or anything I want to be wrong  ,machphantom ’ think woz safe think theori pretti valid took horn anyth want wrong,neutral,"tensor([0.2308, 0.4885, 0.2807])"
4930,12890,negative,@ Dipikasi @ golgappa __ @ India _ My _ Love @ bey _ parwah @ prinka _ saini @ PrasoonDwivedii @ Gulzaari _ Tum ho ullu ye batane ki jarurt kya thi ?😂😁  ,dipikasi golgappa india love bey parwah prinka saini prasoondwivedii gulzaari tum ho ullu ye batan ki jarurt kya thi 😂😁,neutral,"tensor([0.3179, 0.3925, 0.2896])"
8598,19902,positive,@ waglenikhil @ RanaAyyub 5 sal propegenda karne ke Baad BJP Sarkar aa gayi 😂  ,waglenikhil ranaayyub sal propegenda karn ke baad bjp sarkar aa gayi 😂,neutral,"tensor([0.3856, 0.4479, 0.1665])"
6964,16347,neutral,Baln Camboriu 800 PM Temp 20 2C Umid 67% Vento 0 0 SSE Bar 1010 6hpa Chuva hoje 14 2 no m ê s 117 9  ,baln camboriu pm temp c umid vento sse bar hpa chuva hoje ê,neutral,"tensor([0.1930, 0.6307, 0.1763])"
4516,11855,neutral,Mast bakra phusa re .. Windies bouncing out pak . This is fun to watch . # WIvPak # CWC19  ,mast bakra phusa windi bounc pak fun watch wivpak cwc,neutral,"tensor([0.2956, 0.4976, 0.2068])"
13917,34925,neutral,@ Shaheenayaz82 @ MianIftikharHus We will see you all at once Sarkoon pr nikalne k liye 56 inch Ka jigra chahiye Jo … https // t co / SBURzk1DkD  ,shaheenayaz mianiftikharhu see sarkoon pr nikaln k liy inch ka jigra chahiy jo … co sburzkdkd,neutral,"tensor([0.1341, 0.5918, 0.2742])"
10460,24471,positive,@ Nammy942 @ lalatubbiess Hooh kita sllu nunggu . .·´¯`(>▂<)´¯`·. Rest well author . We love you (っ˘̩╭╮˘̩)っ  ,nammi lalatubbiess hooh kita sllu nunggu ·´¯▂´¯· rest well author love っ˘̩╭╮˘̩っ,neutral,"tensor([0.0447, 0.4858, 0.4695])"
14501,37094,neutral,@ Mrbean1 _ @_ RHMED _ @ 7rick37 @ arif00sheikh Congress party ne issliye aap ke samuday Ko pichada hua rakhha itne saalo … https // t . co / GOQ8SfrcrK  ,mrbean rhmed rick arifsheikh congress parti ne issliy aap ke samuday ko pichada hua rakhha itn saalo … co goqsfrcrk,negative,"tensor([0.4414, 0.3704, 0.1882])"
11767,27714,neutral,@ sardanarohit Arey yaar kaisa journalist hai yeh abhiviyakti ki azadi ka Matlab hai tumhe azadi hai BJP ka propogan … https // t co / cplmrMz64y  ,sardanarohit arey yaar kaisa journalist hai yeh abhiviyakti ki azadi ka matlab hai tumh azadi hai bjp ka propogan … co cplmrmzi,negative,"tensor([0.7323, 0.2031, 0.0646])"
4364,11299,positive,@ NaveedRehmanr @ notorious _ khan @ Engg _ Wahab @ PJkanojia @ ssarwar2 Modi ne yeh sab nhi karwaya hai . Yeh yagan k politi … https // t . co / ZVKWrYh8Rg  ,naveedrehmanr notori khan engg wahab pjkanojia ssarwar modi ne yeh sab nhi karwaya hai yeh yagan k politi … co zvkwryhrg,negative,"tensor([0.5402, 0.3620, 0.0978])"
82,467,positive,RT @ wunderbarfilms We love you back 500M + guys ❤️ We are speechless by the way you guys showered love on our # RowdyBaby . We mean it . Much …  ,wunderbarfilm love back guy ❤️ speechless way guy shower love rowdybabi mean much …,positive,"tensor([0.0216, 0.3312, 0.6472])"
13877,34772,negative,@ RubikaLiyaquat Sarkar ki nahi par .. aisi journalist ko kuch aata hin nahi . bass chillane se bade anchor banjaoge to … https // t . co / 2WDZKGOtOW  ,rubikaliyaquat sarkar ki nahi par aisi journalist ko kuch aata hin nahi bass chillan se bade anchor banjaog … co wdzkgotow,negative,"tensor([0.4972, 0.3499, 0.1530])"
1000,4908,neutral,@ Kiranja34522516 @ AcharyaPramodk Ye passe se kharida kutta h . varna jis party ka chif Hindu dharm ko kalpnik khe man … https // t . co / qAouRZZ8DG  ,kiranja acharyapramodk ye pass se kharida kutta h varna ji parti ka chif hindu dharm ko kalpnik khe man … co qaourzzdg,negative,"tensor([0.5634, 0.3073, 0.1293])"
8952,20662,neutral,RT @ TvVshine @ KVBohra @ shreyaghoshal @ TheRealPriya @ samirkochhar Kv Bhai - Most Powerful Acting Teaser is Mind Blowing & Awesome In Sho …  ,tvvshine kvbohra shreyaghosh therealpriya samirkochhar kv bhai power act teaser mind blow awesom sho …,neutral,"tensor([0.1500, 0.6147, 0.2353])"
11093,26342,negative,@ rssurjewala @ INCIndia I month hi kyon congressio ab Kabhi mat aao TV debate pe tumhari yahi aukat hai band Kar do apni party  ,rssurjewala incindia month hi kyon congressio ab kabhi mat aao tv debat pe tumhari yahi aukat hai band kar apni parti,negative,"tensor([0.9103, 0.0598, 0.0299])"
12465,29077,neutral,@ Garima1907 @ SuryaSh8055 @ sssingh21 @ chandeltweets @ oitripti _ Arre gaari nahi gaana  ,garima suryash sssingh chandeltweet oitripti arr gaari nahi gaana,neutral,"tensor([0.0854, 0.7022, 0.2124])"
3108,6931,neutral,Yahi mudde ne rahul Gandhi ko haraya ab lagta hai apki Bari hai .. bjp ki jeet hi in muddo par hui hai ye mudde nahi … https // t . co / FZg6xZXYhI  ,yahi mudd ne rahul gandhi ko haraya ab lagta hai apki bari hai bjp ki jeet hi muddo par hui hai ye mudd nahi … co fzgxzxyhi,negative,"tensor([0.6673, 0.2101, 0.1227])"
1272,25014,positive,She'll always be my favourite Allahumma Baarik # P30Pro https // t . co / 3xUe6Mt8GA  ,shell alway favourit allahumma baarik ppro co xuemtga,neutral,"tensor([0.0509, 0.4770, 0.4721])"
13299,32359,neutral,@ mlkhattar Sir Congratulations for BJP Sir Hum Computer lab attendant hai hme January ke bad vibhag ne salary nh … https // t co / s8m8PNooOI  ,mlkhattar sir congratul bjp sir hum comput lab attend hai hme januari ke bad vibhag ne salari nh … co smpnoooi,positive,"tensor([0.1712, 0.3752, 0.4535])"
5672,14113,positive,RT @ pjdecarlo Awesome video of my project using @ Raspberry _ Pi to enhance retro game consoles . Lets you do things like stream games throug …  ,pjdecarlo awesom video project use raspberri pi enhanc retro game consol let thing like stream game throug …,neutral,"tensor([0.2392, 0.5372, 0.2237])"
14977,38846,positive,@ prahladspatel Aap Hamare ghar padhare aapko Abhar aapko Damoh Lok Sabha say election mein Bhari Jeet Ki hardik Bad … https // t co / IKNLgDqTw7  ,prahladspatel aap hamar ghar padhar aapko abhar aapko damoh lok sabha say elect mein bhari jeet ki hardik bad … co iknlgdqtw,positive,"tensor([0.0117, 0.1299, 0.8584])"
12392,28926,negative,@ Airtel _ Presence @ atulbegwani5454 @ DoT _ India Sala murkh banata hai mere area me bhi madharchod bekar chal raha hai  ,airtel presenc atulbegwani dot india sala murkh banata hai mere area bhi madharchod bekar chal raha hai,negative,"tensor([0.8652, 0.0911, 0.0437])"
4814,12677,positive,Jai Baba balaknath Bandara Village Faste mai apka Swagat hai ) — feeling happy at Garam Panchayat-Bara https // t . co / EqFQaayi0n  ,jai baba balaknath bandara villag fast mai apka swagat hai — feel happi garam panchayatbara co eqfqaayin,positive,"tensor([0.0835, 0.3796, 0.5370])"
197,1126,neutral,@ DrKumarVishwas @ abpnewshindi @ RahulGandhi Kaviraj poltics me aaye the to chodiye mt kejriwal ko benaqab kariye uske against election ladiye  ,drkumarvishwa abpnewshindi rahulgandhi kaviraj poltic aay chodiy mt kejriw ko benaqab kariy usk elect ladiy,negative,"tensor([0.6948, 0.2281, 0.0771])"
16701,6804,negative,@ Ikumar7 2 saal kerla rha hoo bhai south indian food north walo ke bass ki batt ni hai wo hmara food aaram se kha skte hai  ,ikumar saal kerla rha hoo bhai south indian food north walo ke bass ki batt ni hai wo hmara food aaram se kha skte hai,negative,"tensor([0.5719, 0.2926, 0.1355])"
6879,16199,neutral,@ PoliceSgr @ JmuKmrPolice Recalling Hazrat Taib sb ’ s kalam @ DrSyedTalhaShah Jo peer ba-khuda hi nahi hai wo pair ha … https // t . co / yD6H66I5IR  ,policesgr jmukmrpolic recal hazrat taib sb ’ kalam drsyedtalhashah jo peer bakhuda hi nahi hai wo pair ha … co ydhiir,negative,"tensor([0.5934, 0.2527, 0.1540])"
919,4515,positive,@ narendramodi Apne desh ke sainik joh duty ke dauraan Shahid ho jate hai unke family ke liye aap ko ek free makan … https // t . co / bKenCnvZSG  ,narendramodi apn desh ke sainik joh duti ke dauraan shahid ho jate hai unk famili ke liy aap ko ek free makan … co bkencnvzsg,positive,"tensor([0.1796, 0.3906, 0.4298])"
16984,43076,negative,@ officiallArth _ @ Ad _ the _ idol Bc original kon sa hai zaraa google kr ke dekh bc btw mujeh google kr ne k zaroorat nh … https // t . co / 7lNFh37jlz  ,officiallarth ad idol bc origin kon sa hai zaraa googl kr ke dekh bc btw mujeh googl kr ne k zaroorat nh … co lnfhjlz,negative,"tensor([0.7744, 0.1605, 0.0651])"
14771,38088,negative,@ INCIndia Rassi jal gaya lekin aithan nahi gaya ..@ RahulGandhi ..52 hi Kari ho bjp ke liyeinch inch ki ladai karoge … https // t . co / 0p3I1ADfTd  ,incindia rassi jal gaya lekin aithan nahi gaya rahulgandhi hi kari ho bjp ke liyeinch inch ki ladai karog … co piadftd,negative,"tensor([0.5537, 0.2879, 0.1583])"
11244,26615,positive,@ aamir __ 71 @ BeingSalmanKhan Thank you so much Bhai . # Bharat se jude sab details dete ho . Mai 2 saal se aapka YouTub … https // t . co / Z1t88epUQY  ,aamir beingsalmankhan thank much bhai bharat se jude sab detail dete ho mai saal se aapka youtub … co ztepuqi,positive,"tensor([0.0767, 0.2797, 0.6436])"
13409,32799,positive,@ RahulEaswar then . Mahathma Gandhi fought . Now it is corrupt parivar Rahul Gandhi Cong can not match  ,rahuleaswar mahathma gandhi fought corrupt parivar rahul gandhi cong match,neutral,"tensor([0.3487, 0.3679, 0.2834])"
3149,7097,positive,@ actor _ Nikhil Happy birthday bhayya ... All the best for ur feature projects  ,actor nikhil happi birthday bhayya best ur featur project,positive,"tensor([0.0345, 0.1873, 0.7781])"
4609,12170,negative,@ Crank _ that _ @ maheshtibrewal @ venkatvignu Maa k lode teri amma kya tune to dharm ko chod dia h bhenchod .. Randi k b … https // t . co / Urfhm2URJH  ,crank maheshtibrew venkatvignu maa k lode teri amma kya tune dharm ko chod dia h bhenchod randi k b … co urfhmurjh,negative,"tensor([0.9559, 0.0292, 0.0149])"
15182,39635,negative,@ RanaAyyub Muslim name nahi unka outfit reason tha unki arrest ka They were dressed like bombers with bullet vests around them  ,ranaayyub muslim name nahi unka outfit reason tha unki arrest ka dress like bomber bullet vest around,neutral,"tensor([0.3270, 0.4976, 0.1753])"
16727,10848,negative,@ satish _ rajaram @ SureshChavhanke Aabe chutiye pakistan ka sapna hai ye to gazva hind chutye pakistani ho tum jo gaz … https // t . co / 6McKYjkNY1  ,satish rajaram sureshchavhank aab chutiy pakistan ka sapna hai ye gazva hind chuty pakistani ho tum jo gaz … co mckyjkni,negative,"tensor([0.7311, 0.1794, 0.0895])"
7554,17501,negative,@ SanjayAzadSln Isi tarah ki ghatiya rajneeti ki wajah se Bharat ki janta ne tumhare party ke muh par thappad mara t … https // t co / JDvaxS89ba  ,sanjayazadsln isi tarah ki ghatiya rajneeti ki wajah se bharat ki janta ne tumhar parti ke muh par thappad mara … co jdvaxsba,negative,"tensor([0.7209, 0.1733, 0.1058])"
1886,182,negative,@ tamashbeen _ Well chara Chor ke chele this news is a year old ...  ,tamashbeen well chara chor ke chele news year old,neutral,"tensor([0.3108, 0.4761, 0.2131])"
11139,26414,positive,@ OmarAyubKhan God bless u sir sb pakistanio k lye k ye ham sb ka farz banta hai k hm bijli chori ko roken ar bijl … https // t co / zDGoqox3Wl  ,omarayubkhan god bless u sir sb pakistanio k lye k ye ham sb ka farz banta hai k hm bijli chori ko roken ar bijl … co zdgoqoxwl,positive,"tensor([0.1628, 0.1734, 0.6637])"
14055,35444,positive,@ thetribunechd @ arjunrammeghwal @ santoshgangwar @ anshumalini3 Arjun Ram Ji .... Mere Ganv BAJJU ne aapki jeet k liye … https // t . co / sQIruHW1gF  ,thetribunechd arjunrammeghw santoshgangwar anshumalini arjun ram ji mere ganv bajju ne aapki jeet k liy … co sqiruhwgf,positive,"tensor([0.0701, 0.3863, 0.5436])"
5518,13881,negative,RT @ purnima7772 @ IExpressSports @ IndianExpress Iske bas ki hai bhi nahi Glti se famous ho gya kya dekh ke log sarpe chdha dete hain  ,purnima iexpresssport indianexpress isk ba ki hai bhi nahi glti se famou ho gya kya dekh ke log sarp chdha dete hain,negative,"tensor([0.4456, 0.4271, 0.1273])"
9966,23143,neutral,RT @ AdnanBonafide @ MazBONAFIDE yaara # EidKaraaDe kuch hor mangda nahi Sirf ek hor trailer release kar day ! Lol EID KARAA DE !! 🙏🎉🎉🎉 7DAY …  ,adnanbonafid mazbonafid yaara eidkaraad kuch hor mangda nahi sirf ek hor trailer releas kar day lol eid karaa de 🙏🎉🎉🎉 day …,positive,"tensor([0.0219, 0.4499, 0.5283])"
973,4773,neutral,@ FairyTaleMindy @ arpiaaaa Looool This reply is the best  ,fairytalemindi arpiaaaa looool repli best,neutral,"tensor([0.1288, 0.4977, 0.3735])"
